product_name,brands,categories,ingredients_text,packaging,energy_kcal,fat,sugars,proteins,salt,general_category
Sidi Ali,Sidi Ali,"Beverages and beverages preparations,Beverages,Waters,Spring waters,Mineral waters,Unsweetened beverages,Natural mineral waters",une eau minérale naturelle,"Plastic, Bottle",0.0,0.0,0.0,0.0,0.0,Beverages
Eau minérale naturelle,"Sidi Ali,Les Eaux Minérales d'oulmès","Beverages and beverages preparations,Beverages,Waters,Spring waters,Mineral waters,Unsweetened beverages,Natural mineral waters",100% EAU MINÉRALE,"Plastique,Bouteille ou Flacon,Bouteille",0.0,0.0,0.0,0.0,0.0,Beverages
اكوافينا,"pepsi,PepsiCo","Boissons et préparations de boissons,Boissons,Eaux,Eaux de sources,Eaux minérales,Eaux de table",ouverture et avant le : Voir bouteille. après مياه مصفاة بتقنية اكوافينا هايدرو - 7 Eau purifiée par la technique Aquafina HydRO-7,"en:Plastic, en:Bottle",0.0,0.0,0.0,0.0,0.000508,Other
Eau de source,Cristaline,"Boissons et préparations de boissons, Boissons, Eaux, Eaux de sources, Eaux minérales, Boissons sans sucre ajouté, Eaux minérales naturelles",Eau de source,"HdpeFilm-packet,Aluminium-can,PpFilm-wrapper,ldpe-film",0.0,0.0,0.0,0.0,0.00525,Other
Fromage blanc nature,MILKY FOOD PROFESSIONAL,"Produits laitiers,Produits fermentés,Produits laitiers fermentés,Fromages,Desserts,Desserts lactés,Desserts lactés fermentés,Fromages blancs - petit suisses et skyr,Desserts lactés fermentés nature,Fromages blancs,Fromages blancs natures","Ferments lactiques, Présure, Sel.",Plastique,80.6,12.0,0.0,7.3,0.0,Other
Lait entier UHT,Jaouda,"Produits laitiers, Laits, Laits homogénéisés, Laits UHT, Laits entiers, Laits de vache, Lait entier UHT",Lait entier,"Multilayer composite,Tetra Pak",58.0,3.0,0.0,3.0,0.0,Other
Jben,Jaouda,"en:Dairies, en:Fermented foods, en:Fermented milk products, en:Spreads, en:Cheeses, en:Salted spreads, en:Cheese spreads, en:Fromage frais nature à 21%de matière grasse","lait frais entier, crème, stabilisants, amidon, carraghénane, sel, ferments lactiques
matière grasse 21%",en:Plastic,235.0,21.0,0.0,8.0,0.46,Dairy
Ain Saïss,Danone,"Boissons,Eaux,Eaux de sources,Eaux minérales,Boissons sans alcool,Boissons sans sucre ajouté",Eau minérale naturelle,en:plastic bottle,0.0,0.0,0.0,0.0,0.0,Other
6111035000027,Eaux Minérales d'Oulmes,Eaux minérales naturelles,"Composition minérale en mg/
Résidu sec à 110°C: 186
12 t S Sodium 26 tCalciumMagnésium9 tiiSulfates 42 i3 t H Chiorures 14Potassium
Bicarbonates 104 i Nitrates","Plastique,",0.0,0.0,0.0,0.0,0.0065,Other
marmite,"Marmite,Unilever","Spreads,Salted spreads,Yeast extract spreads","yeast extract (contains barley, wheat, oats, rye), salt, vegetable juice concentrate, vitamins (thiamin, riboflavin, niacin, vitamin b12 and folic acid), natural flavouring (contains celery).","Glass,Pot,Glass-jar,Pp-cap,fr:Green dot",260.0,0.5,1.2,34.0,10.8,Condiments
